Date,Value
2025-03-17,1059.94
2025-03-18,380.0
2025-03-19,714.69
2025-03-20,614.48
2025-03-21,1193.71
2025-03-22,270.86
2025-03-23,1009.94
2025-03-24,706.0
2025-03-25,711.77
2025-03-26,879.37
2025-03-27,315.47
2025-03-28,781.65
2025-03-29,391.57
2025-03-30,78.46
2025-03-31,481.04
2025-04-01,450.38
2025-04-02,319.24
2025-04-03,400.31
2025-04-04,521.91
2025-04-05,281.04
2025-04-06,676.82
2025-04-07,476.86
2025-04-08,24.49
2025-04-09,1192.68
2025-04-10,475.64
2025-04-11,408.8
2025-04-12,97.76
2025-04-13,40.7
2025-04-14,272.46
2025-04-15,77.42
2025-04-16,1432.17
2025-04-17,101.06
2025-04-18,720.75
2025-04-19,120.94
2025-04-20,633.86
2025-04-21,83.42
2025-04-22,110.54
