Date,Value
2025-03-17,105.03
2025-03-18,73.11
2025-03-19,82.69
2025-03-20,77.59
2025-03-21,102.23
2025-03-22,69.64
2025-03-23,100.42
2025-03-24,83.74
2025-03-25,89.98
2025-03-26,101.28
2025-03-27,71.96
2025-03-28,101.0
2025-03-29,93.2
2025-03-30,66.44
2025-03-31,71.01
2025-04-01,78.04
2025-04-02,67.05
2025-04-03,79.84
2025-04-04,99.29
2025-04-05,64.84
2025-04-06,104.6
2025-04-07,78.13
2025-04-08,54.8
2025-04-09,108.75
2025-04-10,74.65
2025-04-11,75.71
2025-04-12,57.7
2025-04-13,55.72
2025-04-14,73.18
2025-04-15,61.42
2025-04-16,122.0
2025-04-17,68.38
2025-04-18,90.49
2025-04-19,60.47
2025-04-20,82.84
2025-04-21,58.03
2025-04-22,62.81
