Date,Value
2025-03-17,18698.0
2025-03-18,6194.0
2025-03-19,16079.0
2025-03-20,17976.0
2025-03-21,22038.0
2025-03-22,16326.0
2025-03-23,14453.0
2025-03-24,22115.0
2025-03-25,15447.0
2025-03-26,24529.0
2025-03-27,11567.0
2025-03-28,12267.0
2025-03-29,10010.0
2025-03-30,3605.0
2025-03-31,9205.0
2025-04-01,8386.0
2025-04-02,9015.0
2025-04-03,7430.0
2025-04-04,11122.0
2025-04-05,3669.0
2025-04-06,13340.0
2025-04-07,12116.0
2025-04-08,5128.0
2025-04-09,16565.0
2025-04-10,11755.0
2025-04-11,12263.0
2025-04-12,10554.0
2025-04-13,5555.0
2025-04-14,7776.0
2025-04-15,4901.0
2025-04-16,17307.0
2025-04-17,7794.0
2025-04-18,16243.0
2025-04-19,2619.0
2025-04-20,16980.0
2025-04-21,11218.0
2025-04-22,10126.0
