Date,Value
2025-03-17,127.0
2025-03-18,15.0
2025-03-19,49.0
2025-03-20,36.0
2025-03-21,137.0
2025-03-22,15.0
2025-03-23,121.0
2025-03-24,48.0
2025-03-25,98.0
2025-03-26,114.0
2025-03-27,20.0
2025-03-28,101.0
2025-03-29,29.0
2025-03-30,1.0
2025-03-31,14.0
2025-04-01,12.0
2025-04-02,15.0
2025-04-03,16.0
2025-04-04,57.0
2025-04-05,7.0
2025-04-06,53.0
2025-04-07,29.0
2025-04-08,1.0
2025-04-09,113.0
2025-04-10,28.0
2025-04-11,17.0
2025-04-12,2.0
2025-04-13,2.0
2025-04-14,21.0
2025-04-16,118.0
2025-04-17,3.0
2025-04-18,77.0
2025-04-19,9.0
2025-04-20,36.0
2025-04-21,4.0
2025-04-22,3.0
