date,education,productivity_finance,entertainment,social,travel,other,total_time
2025-03-17,58m,57m,0m,6h 52m,0m,0m,5h 48m
2025-03-18,1h 41m,3h 12m,0m,2h 32m,0m,0m,11h 43m
2025-03-19,0m,3h 25m,0m,3h 22m,0m,1h 17m,12h 19m
2025-03-20,0m,2h 7m,1h 14m,3h 9m,0m,0m,9h 46m
2025-03-21,0m,1h 9m,42m,3h 4m,0m,0m,8h 25m
2025-03-22,0m,0m,59m,2h 37m,2h 35m,0m,7h 50m
2025-03-23,0m,0m,28m,3h 58m,43m,0m,6h 47m
2025-03-24,0m,14m,1h 0m,2h 45m,0m,0m,5h 8m
2025-03-25,0m,0m,1h 23m,2h 33m,0m,41m,5h 30m
2025-03-26,0m,32m,0m,2h 31m,0m,30m,5h 52m
2025-03-27,0m,1h 1m,43m,3h 46m,0m,0m,8h 30m
2025-03-28,0m,0m,1h 49m,5h 9m,1h 30m,0m,10h 37m
2025-03-29,0m,0m,2h 23m,2h 39m,58m,0m,6h 48m
2025-03-30,0m,0m,29m,5h 10m,1h 16m,0m,8h 7m
2025-03-31,0m,56m,0m,5h 7m,0m,47m,7h 53m
2025-04-01,0m,0m,5h 54m,14h 37m,0m,35m,20h 53m
2025-04-02,0m,0m,4h 17m,3h 10m,12m,0m,8h 7m
2025-04-03,0m,0m,2h 9m,6h 22m,51m,0m,11h 7m
2025-04-04,0m,0m,31m,3h 13m,1h 44m,0m,6h 15m
2025-04-05,0m,0m,5h 10m,6h 26m,0m,25m,12h 53m
2025-04-06,0m,0m,2h 46m,3h 36m,1h 24m,0m,9h 9m
2025-04-07,0m,44m,1h 23m,4h 24m,0m,0m,8h 17m
2025-04-08,0m,55m,0m,2h 54m,0m,28m,5h 37m
2025-04-09,0m,2h 6m,0m,3h 13m,0m,56m,8h 26m
2025-04-10,0m,59m,0m,4h 36m,0m,1h 22m,8h 58m
2025-04-11,0m,1h 24m,0m,4h 56m,0m,1h 16m,10h 4m
2025-04-12,0m,0m,35m,5h 12m,0m,1h 12m,8h 14m
2025-04-13,0m,0m,1h 45m,5h 41m,0m,23m,10h 0m
2025-04-14,0m,0m,1h 15m,4h 22m,0m,42m,7h 36m
2025-04-15,0m,0m,59m,2h 59m,23m,0m,5h 22m
2025-04-16,0m,45m,0m,2h 3m,0m,2h 49m,8h 10m
2025-04-17,0m,0m,1h 23m,3h 45m,0m,2h 12m,10h 16m
2025-04-18,0m,0m,0m,3h 41m,1h 3s,1h 19m,8h 42s
2025-04-19,0m,1h 15m,0m,3h 3m,0m,3h 1m,9h 36m
2025-04-20,0m,0m,2h 29m,5h 13m,1h 46m,0m,12h 56m
2025-04-21,0m,46m,0m,1h 13m,0m,2h 21m,6h 59m
2025-04-22,0m,1h 32m,2h 0s,0m,1h 36m,0m,7h 36m
