Date,Value
2025-03-20,5.3
2025-03-21,7.96
2025-03-22,5.44
2025-03-23,7.1
2025-03-24,5.75
2025-03-25,7.78
2025-03-26,7.83
2025-03-27,4.99
2025-03-28,7.11
2025-03-30,2.93
2025-03-31,8.74
2025-04-01,8.97
2025-04-02,8.4
2025-04-03,4.8
2025-04-04,10.62
2025-04-05,8.74
2025-04-06,6.12
2025-04-07,7.54
2025-04-08,7.86
2025-04-09,6.04
2025-04-10,7.97
2025-04-11,6.63
2025-04-12,8.38
2025-04-13,6.74
2025-04-14,8.89
2025-04-15,8.18
2025-04-16,9.27
2025-04-17,4.88
2025-04-18,8.07
2025-04-19,7.63
2025-04-20,4.32
2025-04-21,8.14
2025-04-22,8.88
